"Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Hochschule"

"Jahr";"Fachrichtung";"Geschlecht";"PH Zürich"
"2010/11";"Vorschul- und Primarstufe";"Frau";992
"2010/11";"Sekundarstufe I";"Mann";269
"2010/11";"Sekundarstufe I";"Frau";487
"2010/11";"Sekundarstufe I und II zusammen";"Mann";0
"2010/11";"Sekundarstufe I und II zusammen";"Frau";0
"2010/11";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2010/11";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2010/11";"Sekundarstufe II (Berufsbildung)";"Mann";0
"2010/11";"Sekundarstufe II (Berufsbildung)";"Frau";0
"2010/11";"Berufsbildung allgemein";"Mann";0
"2010/11";"Berufsbildung allgemein";"Frau";0
"2010/11";"Logopädie";"Mann";0
"2010/11";"Logopädie";"Frau";0
"2010/11";"Psychomotoriktherapie";"Mann";0
"2010/11";"Psychomotoriktherapie";"Frau";0
"2010/11";"Heilpädagogik";"Mann";0
"2010/11";"Heilpädagogik";"Frau";0
"2010/11";"Fachdidaktik";"Mann";0
"2010/11";"Fachdidaktik";"Frau";0
"2010/11";"Lehrkräfteausbildung allgemein";"Mann";28
"2010/11";"Lehrkräfteausbildung allgemein";"Frau";20
"2009/10";"Vorschul- und Primarstufe";"Mann";114
"2009/10";"Vorschul- und Primarstufe";"Frau";924
"2009/10";"Sekundarstufe I";"Mann";273
"2009/10";"Sekundarstufe I";"Frau";494
"2009/10";"Sekundarstufe I und II zusammen";"Mann";0
"2009/10";"Sekundarstufe I und II zusammen";"Frau";0
"2009/10";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2009/10";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2009/10";"Sekundarstufe II (Berufsbildung)";"Mann";0
"2009/10";"Sekundarstufe II (Berufsbildung)";"Frau";0
"2009/10";"Berufsbildung allgemein";"Mann";0
"2009/10";"Berufsbildung allgemein";"Frau";0
"2009/10";"Logopädie";"Mann";0
"2009/10";"Logopädie";"Frau";0
"2009/10";"Psychomotoriktherapie";"Mann";0
"2009/10";"Psychomotoriktherapie";"Frau";0
"2009/10";"Heilpädagogik";"Mann";0
"2009/10";"Heilpädagogik";"Frau";0
"2009/10";"Fachdidaktik";"Mann";0
"2009/10";"Fachdidaktik";"Frau";0
"2009/10";"Lehrkräfteausbildung allgemein";"Mann";9
"2009/10";"Lehrkräfteausbildung allgemein";"Frau";3
